surface_display_label,wheel_field,current_position,next_position,count
10^10,winner_offset_mod6,2,6,22
10^10,winner_offset_mod6,4,2,18
10^10,winner_offset_mod6,4,4,13
10^10,winner_offset_mod6,4,6,14
10^10,winner_offset_mod6,6,2,22
10^10,winner_offset_mod6,6,4,14
10^10,winner_offset_mod6,6,6,14
10^11,winner_offset_mod6,2,2,21
10^11,winner_offset_mod6,2,4,18
10^11,winner_offset_mod6,2,6,23
10^11,winner_offset_mod6,4,2,21
10^11,winner_offset_mod6,4,4,17
10^11,winner_offset_mod6,4,6,13
10^11,winner_offset_mod6,6,2,20
10^11,winner_offset_mod6,6,4,15
10^11,winner_offset_mod6,6,6,26
10^12,winner_offset_mod6,2,2,28
10^12,winner_offset_mod6,2,4,18
10^12,winner_offset_mod6,2,6,22
10^12,winner_offset_mod6,4,2,20
10^12,winner_offset_mod6,4,4,10
10^12,winner_offset_mod6,4,6,15
10^12,winner_offset_mod6,6,2,19
10^12,winner_offset_mod6,6,4,17
10^12,winner_offset_mod6,6,6,16
10^13,winner_offset_mod6,2,2,25
10^13,winner_offset_mod6,2,4,16
10^13,winner_offset_mod6,2,6,16
10^13,winner_offset_mod6,4,2,16
10^13,winner_offset_mod6,4,4,16
10^13,winner_offset_mod6,4,6,21
10^13,winner_offset_mod6,6,2,16
10^13,winner_offset_mod6,6,4,21
10^13,winner_offset_mod6,6,6,19
10^14,winner_offset_mod6,2,2,22
10^14,winner_offset_mod6,2,4,12
10^14,winner_offset_mod6,2,6,23
10^14,winner_offset_mod6,4,2,19
10^14,winner_offset_mod6,4,4,21
10^14,winner_offset_mod6,4,6,14
10^14,winner_offset_mod6,6,2,17
10^14,winner_offset_mod6,6,4,21
10^14,winner_offset_mod6,6,6,21
10^15,winner_offset_mod6,2,2,20
10^15,winner_offset_mod6,2,4,16
10^15,winner_offset_mod6,2,6,19
10^15,winner_offset_mod6,4,2,18
10^15,winner_offset_mod6,4,4,25
10^15,winner_offset_mod6,4,6,19
10^15,winner_offset_mod6,6,2,16
10^15,winner_offset_mod6,6,4,21
10^15,winner_offset_mod6,6,6,19
10^16,winner_offset_mod6,2,2,29
10^16,winner_offset_mod6,2,4,23
10^16,winner_offset_mod6,2,6,16
10^16,winner_offset_mod6,4,2,23
10^16,winner_offset_mod6,4,4,26
10^16,winner_offset_mod6,4,6,14
10^16,winner_offset_mod6,6,2,15
10^16,winner_offset_mod6,6,4,14
10^16,winner_offset_mod6,6,6,14
10^17,winner_offset_mod6,2,2,25
10^17,winner_offset_mod6,2,4,25
10^17,winner_offset_mod6,2,6,18
10^17,winner_offset_mod6,4,2,26
10^17,winner_offset_mod6,4,4,18
10^17,winner_offset_mod6,4,6,16
10^17,winner_offset_mod6,6,2,16
10^17,winner_offset_mod6,6,4,17
10^17,winner_offset_mod6,6,6,14
10^18,winner_offset_mod6,2,2,15
10^18,winner_offset_mod6,2,4,18
10^18,winner_offset_mod6,2,6,19
10^18,winner_offset_mod6,4,2,21
10^18,winner_offset_mod6,4,4,18
10^18,winner_offset_mod6,4,6,24
10^18,winner_offset_mod6,6,2,16
10^18,winner_offset_mod6,6,4,26
10^18,winner_offset_mod6,6,6,30
pooled_within_surfaces,winner_offset_mod6,2,2,12141
pooled_within_surfaces,winner_offset_mod6,2,4,7285
pooled_within_surfaces,winner_offset_mod6,2,6,4372
pooled_within_surfaces,winner_offset_mod6,4,2,7307
pooled_within_surfaces,winner_offset_mod6,4,4,4753
pooled_within_surfaces,winner_offset_mod6,4,6,2672
pooled_within_surfaces,winner_offset_mod6,6,2,4346
pooled_within_surfaces,winner_offset_mod6,6,4,2692
pooled_within_surfaces,winner_offset_mod6,6,6,1727
