k,count,possible_g,mean_g,min_g,max_g,num_possible_g,level_share,mean_compress,tau4_share,square_share
27967,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
27983,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
28019,1,[32],32.0,32,32,1,1.0,4.0,1.0,0.0
28027,1,[60],60.0,60,60,1,1.0,2.0,1.0,0.0
28057,2,"[10, 12]",11.0,10,12,2,1.0,5.0,1.0,0.0
28069,2,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
28081,1,[6],6.0,6,6,1,1.0,3.0,1.0,0.0
28097,2,"[8, 28]",18.0,8,28,2,1.0,5.0,1.0,0.0
28099,2,"[12, 16]",14.0,12,16,2,1.0,4.0,1.0,0.0
28109,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
28151,1,[14],14.0,14,14,1,1.0,6.0,1.0,0.0
28163,1,[24],24.0,24,24,1,1.0,4.0,1.0,0.0
28181,2,"[8, 48]",28.0,8,48,2,1.0,6.0,1.0,0.0
28183,1,[40],40.0,40,40,1,1.0,4.0,1.0,0.0
28201,1,[18],18.0,18,18,1,1.0,6.0,1.0,0.0
28211,2,"[6, 10]",8.0,6,10,2,1.0,1.0,0.0,0.0
28219,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
28277,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
28283,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
28289,1,[30],30.0,30,30,1,1.0,2.0,1.0,0.0
28297,2,"[12, 28]",20.0,12,28,2,1.0,5.0,1.0,0.0
28319,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
28351,2,"[6, 40]",23.0,6,40,2,1.0,2.0,0.5,0.0
28387,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
28393,1,[18],18.0,18,18,1,1.0,3.0,1.0,0.0
28403,1,[18],18.0,18,18,1,1.0,3.0,1.0,0.0
28411,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
28429,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
28433,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
28439,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
28477,2,"[8, 18]",13.0,8,18,2,1.0,4.0,1.0,0.0
28517,1,[12],12.0,12,12,1,1.0,9.0,0.0,0.0
28547,1,[12],12.0,12,12,1,1.0,3.0,1.0,0.0
28549,1,[22],22.0,22,22,1,1.0,4.0,1.0,0.0
28559,1,[12],12.0,12,12,1,1.0,1.0,1.0,0.0
28591,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
28597,1,[18],18.0,18,18,1,1.0,6.0,1.0,0.0
28603,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
28619,2,"[12, 20]",16.0,12,20,2,1.0,6.0,1.0,0.0
28627,1,[14],14.0,14,14,1,1.0,5.0,1.0,0.0
28631,2,"[42, 52]",47.0,42,52,2,1.0,5.0,1.0,0.0
28649,1,[18],18.0,18,18,1,1.0,3.0,1.0,0.0
28657,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
28661,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
28663,2,"[26, 40]",33.0,26,40,2,1.0,3.0,1.0,0.0
28669,1,[10],10.0,10,10,1,1.0,6.0,1.0,0.0
28687,2,"[8, 14]",11.0,8,14,2,1.0,3.5,1.0,0.0
28697,2,"[24, 36]",30.0,24,36,2,1.0,4.0,1.0,0.0
28703,1,[4],4.0,4,4,1,1.0,3.0,0.0,0.0
28723,1,[14],14.0,14,14,1,1.0,3.0,1.0,0.0
28729,3,"[18, 22, 40]",26.6667,18,40,3,1.0,4.0,1.0,0.0
28753,1,[18],18.0,18,18,1,1.0,3.0,1.0,0.0
28771,2,"[10, 16]",13.0,10,16,2,1.0,5.0,1.0,0.0
28793,2,"[6, 10]",8.0,6,10,2,1.0,3.5,1.0,0.0
28807,1,[16],16.0,16,16,1,1.0,1.0,1.0,0.0
28817,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
28843,1,[16],16.0,16,16,1,1.0,3.0,1.0,0.0
28859,2,"[18, 20]",19.0,18,20,2,1.0,4.0,1.0,0.0
28867,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
28871,2,"[12, 18]",15.0,12,18,2,1.0,4.0,1.0,0.0
28879,1,[22],22.0,22,22,1,1.0,6.0,1.0,0.0
28901,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
28909,1,[10],10.0,10,10,1,1.0,6.0,1.0,0.0
28921,2,"[4, 6]",5.0,4,6,2,1.0,2.5,0.5,0.0
28933,2,"[18, 22]",20.0,18,22,2,1.0,3.5,1.0,0.0
28949,2,"[6, 30]",18.0,6,30,2,1.0,2.5,0.5,0.0
28961,3,"[12, 18, 22]",17.3333,12,22,3,1.0,2.3333,1.0,0.0
28979,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
29009,1,[22],22.0,22,22,1,1.0,2.0,1.0,0.0
29021,2,"[6, 20]",13.0,6,20,2,1.0,3.0,1.0,0.0
29023,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
29033,1,[4],4.0,4,4,1,1.0,2.0,0.0,0.0
29059,1,[18],18.0,18,18,1,1.0,6.0,1.0,0.0
29101,1,[16],16.0,16,16,1,1.0,2.0,1.0,0.0
29131,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
29153,1,[6],6.0,6,6,1,1.0,2.0,0.0,0.0
29167,2,"[6, 12]",9.0,6,12,2,1.0,3.5,1.0,0.0
29173,1,[30],30.0,30,30,1,1.0,4.0,1.0,0.0
29179,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
29201,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
29207,3,"[10, 12, 30]",17.3333,10,30,3,1.0,5.0,0.6667,0.0
29209,4,"[6, 22, 28, 34]",22.5,6,34,4,1.0,6.0,1.0,0.0
29221,2,"[8, 18]",13.0,8,18,2,1.0,5.0,1.0,0.0
29231,2,"[4, 18]",11.0,4,18,2,1.0,2.5,0.5,0.0
29251,3,"[14, 18]",16.6667,14,18,2,1.0,5.0,1.0,0.0
29269,1,[30],30.0,30,30,1,1.0,8.0,1.0,0.0
29287,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
29303,2,"[6, 12]",9.0,6,12,2,1.0,5.0,0.0,0.0
29327,2,"[6, 10]",8.0,6,10,2,1.0,2.5,1.0,0.0
29333,3,"[4, 16, 18]",12.6667,4,18,3,1.0,4.6667,0.3333,0.3333
29339,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
29347,1,[12],12.0,12,12,1,1.0,8.0,1.0,0.0
29363,2,"[26, 40]",33.0,26,40,2,1.0,8.0,1.0,0.0
29383,2,"[40, 60]",50.0,40,60,2,1.0,4.5,1.0,0.0
29387,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
29399,2,"[12, 18]",15.0,12,18,2,1.0,2.0,1.0,0.0
29411,2,"[4, 28]",16.0,4,28,2,1.0,1.0,1.0,0.0
29423,1,[32],32.0,32,32,1,1.0,3.0,1.0,0.0
29429,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
29437,1,[12],12.0,12,12,1,1.0,10.0,1.0,0.0
29443,1,[6],6.0,6,6,1,1.0,5.0,1.0,0.0
29453,1,[16],16.0,16,16,1,1.0,3.0,1.0,0.0
29473,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
29483,1,[22],22.0,22,22,1,1.0,6.0,1.0,0.0
29501,1,[10],10.0,10,10,1,1.0,1.0,1.0,0.0
29537,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
29569,2,"[16, 18]",17.0,16,18,2,1.0,1.5,1.0,0.0
29587,2,"[12, 30]",21.0,12,30,2,1.0,4.0,1.0,0.0
29599,2,"[10, 22]",16.0,10,22,2,1.0,2.5,1.0,0.0
29611,3,"[10, 22, 44]",25.3333,10,44,3,1.0,3.3333,1.0,0.0
29629,1,[16],16.0,16,16,1,1.0,3.0,1.0,0.0
29641,1,[14],14.0,14,14,1,1.0,6.0,1.0,0.0
29663,1,[4],4.0,4,4,1,1.0,1.0,1.0,0.0
29671,3,"[4, 6, 38]",16.0,4,38,3,1.0,1.6667,0.6667,0.0
29683,1,[20],20.0,20,20,1,1.0,2.0,1.0,0.0
29723,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
29741,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
29759,1,[16],16.0,16,16,1,1.0,10.0,1.0,0.0
29761,4,"[10, 12, 14, 24]",15.0,10,24,4,1.0,4.0,1.0,0.0
29803,2,"[4, 6]",5.0,4,6,2,1.0,2.5,0.0,0.0
29819,1,[24],24.0,24,24,1,1.0,3.0,1.0,0.0
29833,1,[10],10.0,10,10,1,1.0,7.0,1.0,0.0
29837,1,[36],36.0,36,36,1,1.0,12.0,1.0,0.0
29851,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
29863,1,[22],22.0,22,22,1,1.0,2.0,1.0,0.0
29867,2,"[6, 26]",16.0,6,26,2,1.0,3.5,1.0,0.0
29873,1,[6],6.0,6,6,1,1.0,3.0,1.0,0.0
29881,2,"[6, 18]",12.0,6,18,2,1.0,3.0,1.0,0.0
29917,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
29921,1,[12],12.0,12,12,1,1.0,4.0,1.0,0.0
29959,1,[10],10.0,10,10,1,1.0,3.0,0.0,0.0
29983,1,[14],14.0,14,14,1,1.0,3.0,1.0,0.0
30011,2,"[6, 18]",12.0,6,18,2,1.0,2.0,1.0,0.0
30029,1,[24],24.0,24,24,1,1.0,4.0,1.0,0.0
30047,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
30059,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
30089,1,[26],26.0,26,26,1,1.0,5.0,1.0,0.0
30091,4,"[6, 8, 40]",23.5,6,40,3,1.0,3.25,1.0,0.0
30097,1,[6],6.0,6,6,1,1.0,3.0,1.0,0.0
30103,1,[18],18.0,18,18,1,1.0,5.0,1.0,0.0
30133,1,[4],4.0,4,4,1,1.0,3.0,0.0,0.0
30139,1,[24],24.0,24,24,1,1.0,5.0,1.0,0.0
30169,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
30187,4,"[10, 12, 20, 26]",17.0,10,26,4,1.0,3.5,1.0,0.0
30197,2,"[24, 34]",29.0,24,34,2,1.0,3.0,1.0,0.0
30203,1,[30],30.0,30,30,1,1.0,2.0,1.0,0.0
30211,1,[16],16.0,16,16,1,1.0,10.0,1.0,0.0
30271,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
30293,1,[6],6.0,6,6,1,1.0,2.0,0.0,0.0
30307,2,"[6, 50]",28.0,6,50,2,1.0,1.5,0.5,0.0
30313,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
30319,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
30323,2,"[10, 26]",18.0,10,26,2,1.0,7.5,1.0,0.0
30341,1,[12],12.0,12,12,1,1.0,4.0,1.0,0.0
30367,2,"[6, 10]",8.0,6,10,2,1.0,1.5,1.0,0.0
30391,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
30431,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
30467,2,"[10, 12]",11.0,10,12,2,1.0,7.0,1.0,0.0
30491,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
30529,1,[36],36.0,36,36,1,1.0,2.0,1.0,0.0
30539,1,[12],12.0,12,12,1,1.0,1.0,1.0,0.0
30557,1,[22],22.0,22,22,1,1.0,1.0,1.0,0.0
30577,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
30631,1,[6],6.0,6,6,1,1.0,1.0,1.0,0.0
30637,2,"[6, 12]",9.0,6,12,2,1.0,5.0,1.0,0.0
30643,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
30649,1,[28],28.0,28,28,1,1.0,6.0,1.0,0.0
30661,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
30677,1,[10],10.0,10,10,1,1.0,1.0,1.0,0.0
30689,1,[12],12.0,12,12,1,1.0,9.0,1.0,0.0
30697,2,"[18, 30]",24.0,18,30,2,1.0,3.0,1.0,0.0
30707,1,[38],38.0,38,38,1,1.0,6.0,1.0,0.0
30763,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
30773,2,"[6, 14]",10.0,6,14,2,1.0,5.0,0.5,0.0
30803,1,[42],42.0,42,42,1,1.0,2.0,1.0,0.0
30809,1,[30],30.0,30,30,1,1.0,4.0,1.0,0.0
30817,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
30839,1,[22],22.0,22,22,1,1.0,4.0,1.0,0.0
30841,1,[34],34.0,34,34,1,1.0,4.0,1.0,0.0
30859,2,"[24, 26]",25.0,24,26,2,1.0,4.0,1.0,0.0
30869,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
30871,1,[24],24.0,24,24,1,1.0,4.0,1.0,0.0
30881,1,[32],32.0,32,32,1,1.0,2.0,1.0,0.0
30911,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
30931,1,[8],8.0,8,8,1,1.0,3.0,0.0,0.0
30937,1,[10],10.0,10,10,1,1.0,1.0,1.0,0.0
30941,2,"[10, 28]",19.0,10,28,2,1.0,3.0,1.0,0.0
30949,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
30971,3,"[6, 14]",11.3333,6,14,2,1.0,5.3333,1.0,0.0
30977,2,"[10, 28]",19.0,10,28,2,1.0,2.5,1.0,0.0
31019,1,[16],16.0,16,16,1,1.0,6.0,1.0,0.0
31039,1,[12],12.0,12,12,1,1.0,3.0,1.0,0.0
31051,1,[16],16.0,16,16,1,1.0,1.0,1.0,0.0
31079,1,[20],20.0,20,20,1,1.0,2.0,1.0,0.0
31123,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
31147,2,[6],6.0,6,6,1,1.0,3.0,0.5,0.0
31151,1,[36],36.0,36,36,1,1.0,4.0,1.0,0.0
31153,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
31177,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
31183,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
31219,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
31231,1,[12],12.0,12,12,1,1.0,10.0,1.0,0.0
31247,3,"[6, 10, 30]",15.3333,6,30,3,1.0,2.6667,1.0,0.0
31253,1,[20],20.0,20,20,1,1.0,2.0,1.0,0.0
31259,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
31267,1,[32],32.0,32,32,1,1.0,2.0,1.0,0.0
31271,1,[30],30.0,30,30,1,1.0,1.0,1.0,0.0
31277,1,[20],20.0,20,20,1,1.0,2.0,1.0,0.0
31321,3,"[4, 6, 8]",6.0,4,8,3,1.0,3.0,0.3333,0.0
31333,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
31379,3,"[12, 16, 32]",20.0,12,32,3,1.0,3.3333,1.0,0.0
31397,1,[44],44.0,44,44,1,1.0,2.0,1.0,0.0
31477,1,[16],16.0,16,16,1,1.0,6.0,1.0,0.0
31481,2,"[18, 24]",21.0,18,24,2,1.0,2.0,1.0,0.0
31513,1,[4],4.0,4,4,1,1.0,3.0,0.0,0.0
31517,1,[12],12.0,12,12,1,1.0,4.0,1.0,0.0
31531,3,"[10, 28, 62]",33.3333,10,62,3,1.0,2.3333,1.0,0.0
31543,1,[30],30.0,30,30,1,1.0,2.0,1.0,0.0
31573,2,"[4, 12]",8.0,4,12,2,1.0,3.5,1.0,0.0
31583,2,"[18, 44]",31.0,18,44,2,1.0,3.0,1.0,0.0
31601,2,"[8, 12]",10.0,8,12,2,1.0,2.0,1.0,0.0
31627,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
31643,1,[32],32.0,32,32,1,1.0,6.0,1.0,0.0
31649,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
31663,1,[30],30.0,30,30,1,1.0,6.0,1.0,0.0
31687,1,[30],30.0,30,30,1,1.0,2.0,1.0,0.0
31699,2,"[12, 26]",19.0,12,26,2,1.0,3.0,1.0,0.0
31721,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
31751,1,[4],4.0,4,4,1,1.0,1.0,1.0,0.0
31769,1,[10],10.0,10,10,1,1.0,1.0,1.0,0.0
31799,1,[12],12.0,12,12,1,1.0,1.0,1.0,0.0
31859,1,[28],28.0,28,28,1,1.0,10.0,1.0,0.0
31891,2,"[18, 24]",21.0,18,24,2,1.0,3.5,1.0,0.0
31907,2,"[26, 28]",27.0,26,28,2,1.0,4.0,1.0,0.0
31957,3,"[10, 20, 32]",20.6667,10,32,3,1.0,5.6667,1.0,0.0
31991,1,[18],18.0,18,18,1,1.0,5.0,1.0,0.0
32003,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
32009,3,"[12, 28, 34]",24.6667,12,34,3,1.0,6.0,1.0,0.0
32027,1,[22],22.0,22,22,1,1.0,4.0,1.0,0.0
32057,2,"[6, 30]",18.0,6,30,2,1.0,3.5,1.0,0.0
32059,1,[24],24.0,24,24,1,1.0,4.0,1.0,0.0
32069,2,"[16, 26]",21.0,16,26,2,1.0,4.5,1.0,0.0
32077,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
32159,1,[20],20.0,20,20,1,1.0,8.0,1.0,0.0
32183,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
32203,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
32237,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
32251,1,[22],22.0,22,22,1,1.0,2.0,1.0,0.0
32257,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
32261,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
32297,4,"[6, 12, 20, 38]",19.0,6,38,4,1.0,3.25,0.75,0.0
32303,2,"[6, 22]",14.0,6,22,2,1.0,2.5,1.0,0.0
32323,2,"[10, 12]",11.0,10,12,2,1.0,2.0,1.0,0.0
32327,3,"[8, 24]",18.6667,8,24,2,1.0,2.0,1.0,0.0
32341,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
32353,1,[22],22.0,22,22,1,1.0,1.0,1.0,0.0
32363,3,"[14, 30, 32]",25.3333,14,32,3,1.0,2.0,1.0,0.0
32369,1,[10],10.0,10,10,1,1.0,9.0,1.0,0.0
32371,2,"[10, 12]",11.0,10,12,2,1.0,3.0,1.0,0.0
32381,1,[14],14.0,14,14,1,1.0,3.0,1.0,0.0
32401,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
32429,2,"[40, 42]",41.0,40,42,2,1.0,3.0,1.0,0.0
32441,2,"[14, 18]",16.0,14,18,2,1.0,5.0,1.0,0.0
32467,1,[12],12.0,12,12,1,1.0,4.0,1.0,0.0
32491,3,"[6, 24, 36]",22.0,6,36,3,1.0,3.0,1.0,0.0
32497,1,[10],10.0,10,10,1,1.0,1.0,1.0,0.0
32533,1,[6],6.0,6,6,1,1.0,2.0,0.0,0.0
32573,1,[22],22.0,22,22,1,1.0,8.0,1.0,0.0
32579,1,[6],6.0,6,6,1,1.0,1.0,0.0,0.0
32587,2,"[18, 28]",23.0,18,28,2,1.0,4.0,1.0,0.0
32603,1,[6],6.0,6,6,1,1.0,4.0,0.0,0.0
32609,3,"[12, 18]",14.0,12,18,2,1.0,4.3333,1.0,0.0
32621,2,"[8, 14]",11.0,8,14,2,1.0,4.0,1.0,0.0
32653,1,[14],14.0,14,14,1,1.0,5.0,1.0,0.0
32687,1,[20],20.0,20,20,1,1.0,2.0,1.0,0.0
32693,1,[22],22.0,22,22,1,1.0,10.0,1.0,0.0
32713,1,[22],22.0,22,22,1,1.0,3.0,1.0,0.0
32717,1,[28],28.0,28,28,1,1.0,4.0,1.0,0.0
32771,2,"[4, 30]",17.0,4,30,2,1.0,3.0,0.5,0.0
32789,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
32801,2,"[4, 8]",6.0,4,8,2,1.0,2.5,1.0,0.0
32803,2,[10],10.0,10,10,1,1.0,4.5,0.5,0.0
32833,2,"[18, 28]",23.0,18,28,2,1.0,4.0,1.0,0.0
32839,2,"[16, 20]",18.0,16,20,2,1.0,2.5,1.0,0.0
32933,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
32939,2,"[6, 22]",14.0,6,22,2,1.0,2.5,1.0,0.0
32941,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
32969,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
32971,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
32987,2,"[6, 24]",15.0,6,24,2,1.0,7.0,1.0,0.0
32993,1,[36],36.0,36,36,1,1.0,2.0,1.0,0.0
33029,1,[28],28.0,28,28,1,1.0,4.0,1.0,0.0
33037,1,[16],16.0,16,16,1,1.0,6.0,1.0,0.0
33053,1,[32],32.0,32,32,1,1.0,2.0,1.0,0.0
33071,2,"[10, 12]",11.0,10,12,2,1.0,3.5,1.0,0.0
33107,1,[6],6.0,6,6,1,1.0,1.0,0.0,0.0
33119,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
33161,2,"[6, 12]",9.0,6,12,2,1.0,2.5,0.5,0.0
33179,2,"[10, 20]",15.0,10,20,2,1.0,5.0,0.5,0.0
33181,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
33191,1,[4],4.0,4,4,1,1.0,1.0,1.0,0.0
33199,3,"[12, 24]",16.0,12,24,2,1.0,2.6667,1.0,0.0
33203,1,[6],6.0,6,6,1,1.0,3.0,0.0,0.0
33223,2,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
33247,2,"[12, 24]",18.0,12,24,2,1.0,4.0,1.0,0.0
33287,2,"[20, 22]",21.0,20,22,2,1.0,4.5,1.0,0.0
33289,1,[28],28.0,28,28,1,1.0,8.0,1.0,0.0
33301,1,[36],36.0,36,36,1,1.0,2.0,1.0,0.0
33311,1,[6],6.0,6,6,1,1.0,3.0,0.0,0.0
33317,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
33329,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
33331,2,"[12, 14]",13.0,12,14,2,1.0,3.0,1.0,0.0
33347,3,"[6, 8, 12]",8.6667,6,12,3,1.0,4.6667,1.0,0.0
33413,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
33427,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
33457,2,"[14, 48]",31.0,14,48,2,1.0,5.0,1.0,0.0
33461,4,"[6, 10, 12, 16]",11.0,6,16,4,1.0,4.25,0.75,0.0
33503,1,[14],14.0,14,14,1,1.0,3.0,1.0,0.0
33533,2,"[18, 22]",20.0,18,22,2,1.0,2.5,1.0,0.0
33547,3,"[10, 12, 30]",17.3333,10,30,3,1.0,3.0,1.0,0.0
33569,1,[30],30.0,30,30,1,1.0,6.0,1.0,0.0
33577,1,[34],34.0,34,34,1,1.0,4.0,1.0,0.0
33581,1,[6],6.0,6,6,1,1.0,3.0,0.0,0.0
33587,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
33589,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
33613,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
33617,1,[6],6.0,6,6,1,1.0,2.0,0.0,0.0
33641,1,[4],4.0,4,4,1,1.0,2.0,0.0,0.0
33647,1,[12],12.0,12,12,1,1.0,5.0,1.0,0.0
33703,3,"[4, 18, 28]",16.6667,4,28,3,1.0,3.6667,0.6667,0.0
33713,3,"[10, 16, 32]",19.3333,10,32,3,1.0,7.6667,1.0,0.0
33721,2,"[10, 12]",11.0,10,12,2,1.0,1.5,1.0,0.0
33739,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
33751,2,"[22, 48]",35.0,22,48,2,1.0,4.0,1.0,0.0
33767,2,"[14, 18]",16.0,14,18,2,1.0,7.0,1.0,0.0
33791,2,"[18, 36]",27.0,18,36,2,1.0,8.0,1.0,0.0
33809,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
33851,2,"[6, 16]",11.0,6,16,2,1.0,7.0,1.0,0.0
33863,2,"[6, 12]",9.0,6,12,2,1.0,2.5,0.5,0.0
33871,2,"[14, 24]",19.0,14,24,2,1.0,3.0,1.0,0.0
33911,2,"[4, 10]",7.0,4,10,2,1.0,2.0,0.5,0.0
33931,1,[6],6.0,6,6,1,1.0,1.0,0.0,0.0
33937,3,"[16, 24, 30]",23.3333,16,30,3,1.0,4.3333,1.0,0.0
33997,1,[18],18.0,18,18,1,1.0,8.0,1.0,0.0
34019,1,[22],22.0,22,22,1,1.0,7.0,1.0,0.0
34031,2,"[12, 14]",13.0,12,14,2,1.0,5.0,1.0,0.0
34033,1,[4],4.0,4,4,1,1.0,1.0,0.0,0.0
34057,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
34061,2,"[12, 14]",13.0,12,14,2,1.0,5.0,1.0,0.0
34123,1,[30],30.0,30,30,1,1.0,4.0,1.0,0.0
34127,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
34129,3,"[10, 18, 28]",18.6667,10,28,3,1.0,3.6667,1.0,0.0
34141,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
34147,3,"[10, 12, 20]",14.0,10,20,3,1.0,4.0,1.0,0.0
34159,3,"[12, 20]",14.6667,12,20,2,1.0,6.0,0.6667,0.3333
34171,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
34183,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
34211,2,"[20, 24]",22.0,20,24,2,1.0,5.0,1.0,0.0
34213,3,"[4, 14, 18]",12.0,4,18,3,1.0,3.3333,0.6667,0.0
34231,1,[24],24.0,24,24,1,1.0,2.0,1.0,0.0
34261,3,"[6, 12, 14]",10.6667,6,14,3,1.0,2.0,1.0,0.0
34267,1,[24],24.0,24,24,1,1.0,11.0,1.0,0.0
34273,1,[18],18.0,18,18,1,1.0,6.0,1.0,0.0
34283,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
34297,1,[30],30.0,30,30,1,1.0,2.0,1.0,0.0
34301,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
34303,1,[22],22.0,22,22,1,1.0,6.0,1.0,0.0
34313,1,[14],14.0,14,14,1,1.0,4.0,1.0,0.0
34361,2,"[4, 10]",7.0,4,10,2,1.0,2.0,0.5,0.0
34369,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
34403,1,[6],6.0,6,6,1,1.0,1.0,1.0,0.0
34421,1,[18],18.0,18,18,1,1.0,10.0,1.0,0.0
34429,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
34439,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
34469,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
34483,1,[16],16.0,16,16,1,1.0,4.0,1.0,0.0
34499,1,[12],12.0,12,12,1,1.0,6.0,1.0,0.0
34501,1,[18],18.0,18,18,1,1.0,12.0,1.0,0.0
34519,1,[12],12.0,12,12,1,1.0,2.0,1.0,0.0
34537,1,[6],6.0,6,6,1,1.0,4.0,1.0,0.0
34589,1,[42],42.0,42,42,1,1.0,8.0,1.0,0.0
34591,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
34607,2,"[12, 30]",21.0,12,30,2,1.0,4.0,1.0,0.0
34613,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
34631,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
34651,1,[18],18.0,18,18,1,1.0,6.0,1.0,0.0
34667,1,[6],6.0,6,6,1,1.0,3.0,0.0,0.0
