rank,feature,high_exit_count,total_event_count,high_exit_rate
186,o4_even_semiprime|d<=4|r13 -> o6_higher_divisor_even|5<=d<=16|r23,5,14,0.35714285714285715
187,o4_even_semiprime|d<=4|r13 -> o4_higher_divisor_odd|5<=d<=16|r7,5,11,0.45454545454545453
188,o6_even_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r13,4,99,0.04040404040404041
189,o4_even_semiprime|d<=4|r19 -> o6_odd_semiprime|d<=4|r23,4,98,0.04081632653061224
190,o2_higher_divisor_even|17<=d<=64|r29 -> o6_higher_divisor_even|5<=d<=16|r1,4,90,0.044444444444444446
191,o2_higher_divisor_even|17<=d<=64|r17 -> o4_higher_divisor_odd|5<=d<=16|r19,4,82,0.04878048780487805
192,o6_even_semiprime|d<=4|r1 -> o4_even_semiprime|d<=4|r13,4,73,0.0547945205479452
193,o4_odd_semiprime|d<=4|r7 -> o6_even_semiprime|d<=4|r23,4,70,0.05714285714285714
194,o4_odd_semiprime|d<=4|r13 -> o6_even_semiprime|d<=4|r1,4,67,0.05970149253731343
195,o6_even_semiprime|d<=4|r1 -> o6_odd_semiprime|d<=4|r23,4,66,0.06060606060606061
196,o2_higher_divisor_even|5<=d<=16|r11 -> o2_odd_semiprime|d<=4|r17,4,61,0.06557377049180328
197,o4_even_semiprime|d<=4|r19 -> o6_even_semiprime|d<=4|r23,4,60,0.06666666666666667
198,o2_odd_semiprime|d<=4|r11 -> o2_odd_semiprime|d<=4|r11,4,58,0.06896551724137931
199,o6_even_semiprime|d<=4|r23 -> o6_even_semiprime|d<=4|r1,4,57,0.07017543859649122
200,o2_odd_semiprime|d<=4|r29 -> o2_odd_semiprime|d<=4|r29,4,49,0.08163265306122448
201,o2_odd_semiprime|d<=4|r29 -> o6_odd_semiprime|d<=4|r1,4,49,0.08163265306122448
202,o6_odd_semiprime|d<=4|r1 -> o4_even_semiprime|d<=4|r19,4,38,0.10526315789473684
203,o4_even_semiprime|d<=4|r7 -> o4_higher_divisor_even|5<=d<=16|r13,4,37,0.10810810810810811
204,o2_odd_semiprime|d<=4|r11 -> o2_even_semiprime|d<=4|r17,4,32,0.125
205,o4_odd_semiprime|d<=4|r13 -> o4_odd_semiprime|d<=4|r13,4,32,0.125
206,o4_even_semiprime|d<=4|r19 -> o6_even_semiprime|d<=4|r1,4,31,0.12903225806451613
207,o6_even_semiprime|d<=4|r1 -> o4_higher_divisor_odd|5<=d<=16|r7,4,31,0.12903225806451613
208,o4_odd_semiprime|d<=4|r7 -> o6_higher_divisor_odd|5<=d<=16|r23,4,30,0.13333333333333333
209,o4_higher_divisor_even|5<=d<=16|r7 -> o4_higher_divisor_even|5<=d<=16|r13,4,27,0.14814814814814814
210,o4_even_semiprime|d<=4|r13 -> o6_higher_divisor_odd|5<=d<=16|r23,4,26,0.15384615384615385
211,o2_odd_semiprime|d<=4|r11 -> o6_higher_divisor_even|5<=d<=16|r23,4,24,0.16666666666666666
212,o4_higher_divisor_even|5<=d<=16|r19 -> o6_higher_divisor_even|5<=d<=16|r23,4,24,0.16666666666666666
213,o4_higher_divisor_even|5<=d<=16|r7 -> o2_higher_divisor_odd|5<=d<=16|r11,4,24,0.16666666666666666
214,o2_odd_semiprime|d<=4|r29 -> o2_higher_divisor_odd|5<=d<=16|r11,4,23,0.17391304347826086
215,o2_higher_divisor_odd|5<=d<=16|r17 -> o6_higher_divisor_odd|5<=d<=16|r23,4,22,0.18181818181818182
216,o2_odd_semiprime|d<=4|r11 -> o4_higher_divisor_even|5<=d<=16|r7,4,20,0.2
217,o2_higher_divisor_odd|5<=d<=16|r29 -> o4_higher_divisor_even|5<=d<=16|r7,4,17,0.23529411764705882
218,o2_odd_semiprime|d<=4|r29 -> o6_higher_divisor_odd|5<=d<=16|r23,4,16,0.25
219,o4_even_semiprime|d<=4|r19 -> o4_odd_semiprime|d<=4|r19,4,13,0.3076923076923077
220,o4_even_semiprime|d<=4|r19 -> o6_higher_divisor_odd|5<=d<=16|r23,4,13,0.3076923076923077
221,o6_odd_semiprime|d<=4|r1 -> o2_higher_divisor_even|5<=d<=16|r11,3,84,0.03571428571428571
222,o4_odd_semiprime|d<=4|r19 -> o4_odd_semiprime|d<=4|r13,3,76,0.039473684210526314
223,o4_odd_semiprime|d<=4|r7 -> o6_odd_semiprime|d<=4|r1,3,70,0.04285714285714286
224,o4_higher_divisor_odd|5<=d<=16|r7 -> o4_odd_semiprime|d<=4|r13,3,62,0.04838709677419355
225,o4_even_semiprime|d<=4|r13 -> o6_even_semiprime|d<=4|r23,3,59,0.05084745762711865
226,o4_odd_semiprime|d<=4|r19 -> o2_higher_divisor_even|5<=d<=16|r11,3,58,0.05172413793103448
227,o2_even_semiprime|d<=4|r11 -> o4_odd_semiprime|d<=4|r19,3,57,0.05263157894736842
228,o4_odd_semiprime|d<=4|r13 -> o4_higher_divisor_even|5<=d<=16|r19,3,55,0.05454545454545454
229,o6_higher_divisor_odd|5<=d<=16|r23 -> o6_odd_semiprime|d<=4|r1,3,55,0.05454545454545454
230,o4_odd_semiprime|d<=4|r7 -> o4_odd_semiprime|d<=4|r7,3,46,0.06521739130434782
231,o4_even_semiprime|d<=4|r13 -> o6_even_semiprime|d<=4|r1,3,45,0.06666666666666667
232,o4_higher_divisor_even|5<=d<=16|r13 -> o2_even_semiprime|d<=4|r17,3,45,0.06666666666666667
233,o2_odd_semiprime|d<=4|r17 -> o4_higher_divisor_even|5<=d<=16|r7,3,39,0.07692307692307693
234,o4_even_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r11,3,38,0.07894736842105263
235,o6_even_semiprime|d<=4|r23 -> o4_even_semiprime|d<=4|r7,3,38,0.07894736842105263
236,o4_odd_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r17,3,37,0.08108108108108109
237,o2_higher_divisor_even|5<=d<=16|r29 -> o6_even_semiprime|d<=4|r1,3,35,0.08571428571428572
238,o2_odd_semiprime|d<=4|r29 -> o4_even_semiprime|d<=4|r19,3,35,0.08571428571428572
239,o4_even_semiprime|d<=4|r7 -> o4_even_semiprime|d<=4|r13,3,35,0.08571428571428572
240,o4_odd_semiprime|d<=4|r19 -> o2_even_semiprime|d<=4|r11,3,35,0.08571428571428572
241,o2_odd_semiprime|d<=4|r17 -> o2_even_semiprime|d<=4|r29,3,34,0.08823529411764706
242,o4_higher_divisor_even|5<=d<=16|r7 -> o4_odd_semiprime|d<=4|r13,3,33,0.09090909090909091
243,o4_odd_semiprime|d<=4|r7 -> o2_even_semiprime|d<=4|r17,3,28,0.10714285714285714
244,o4_odd_semiprime|d<=4|r7 -> o4_higher_divisor_odd|5<=d<=16|r13,3,28,0.10714285714285714
245,o6_higher_divisor_even|5<=d<=16|r1 -> o2_odd_semiprime|d<=4|r11,3,28,0.10714285714285714
246,o4_odd_semiprime|d<=4|r13 -> o4_higher_divisor_odd|5<=d<=16|r7,3,26,0.11538461538461539
