case_id,N,audit_p,audit_q,inference_status,inferred_p,inferred_q,audit_status
toy_le_149_103_149,15347,103,149,resolved,103,149,audit_pass
toy_le_149_107_107,11449,107,107,unresolved,,,unresolved
toy_le_149_107_109,11663,107,109,unresolved,,,unresolved
toy_le_149_107_113,12091,107,113,resolved,107,113,audit_pass
toy_le_149_107_127,13589,107,127,unresolved,,,unresolved
toy_le_149_107_131,14017,107,131,resolved,107,131,audit_pass
toy_le_149_107_137,14659,107,137,resolved,107,137,audit_pass
toy_le_149_107_139,14873,107,139,unresolved,,,unresolved
toy_le_149_107_149,15943,107,149,resolved,107,149,audit_pass
toy_le_149_109_109,11881,109,109,resolved,109,109,audit_pass
toy_le_149_109_113,12317,109,113,resolved,109,113,audit_pass
toy_le_149_109_127,13843,109,127,unresolved,,,unresolved
toy_le_149_109_131,14279,109,131,resolved,109,131,audit_pass
toy_le_149_109_137,14933,109,137,unresolved,,,unresolved
toy_le_149_109_139,15151,109,139,resolved,109,139,audit_pass
toy_le_149_109_149,16241,109,149,unresolved,,,unresolved
toy_le_149_113_113,12769,113,113,unresolved,,,unresolved
toy_le_149_113_127,14351,113,127,unresolved,,,unresolved
toy_le_149_113_131,14803,113,131,resolved,113,131,audit_pass
toy_le_149_113_137,15481,113,137,resolved,113,137,audit_pass
toy_le_149_113_139,15707,113,139,resolved,113,139,audit_pass
toy_le_149_113_149,16837,113,149,resolved,113,149,audit_pass
toy_le_149_127_127,16129,127,127,resolved,127,127,audit_pass
toy_le_149_127_131,16637,127,131,resolved,127,131,audit_pass
toy_le_149_127_137,17399,127,137,resolved,127,137,audit_pass
toy_le_149_127_139,17653,127,139,resolved,127,139,audit_pass
toy_le_149_127_149,18923,127,149,resolved,127,149,audit_pass
toy_le_149_131_131,17161,131,131,resolved,131,131,audit_pass
toy_le_149_131_137,17947,131,137,resolved,131,137,audit_pass
toy_le_149_131_139,18209,131,139,resolved,131,139,audit_pass
toy_le_149_131_149,19519,131,149,resolved,131,149,audit_pass
toy_le_149_137_137,18769,137,137,resolved,137,137,audit_pass
toy_le_149_137_139,19043,137,139,unresolved,,,unresolved
toy_le_149_137_149,20413,137,149,resolved,137,149,audit_pass
toy_le_149_139_139,19321,139,139,resolved,139,139,audit_pass
toy_le_149_139_149,20711,139,149,resolved,139,149,audit_pass
toy_le_149_149_149,22201,149,149,resolved,149,149,audit_pass
