q,q_mod30,w,tau_w,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_fixed_point,endpoint_family,factor_signature,least_factor,least_factor_mod30,cofactor,cofactor_mod30,cofactor_tau,cofactor_family,reduced_obstruction_family,low_complexity_cofactor_obstruction,higher_cofactor_obstruction,second_factor,second_factor_mod30,second_remainder,second_remainder_mod30,second_remainder_tau,second_remainder_family,second_strip_family,second_strip_low_complexity_remainder,third_factor,third_factor_mod30,third_remainder,third_remainder_mod30,third_remainder_tau,third_remainder_family,third_strip_family,third_strip_low_complexity_remainder,third_strip_prime_power_tail
809261,11,809262,12,809263,13,excluded,composite_obstruction,8,False,multi_prime_family,7*13*8893,7,7,115609,19,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809297,17,809298,32,809299,19,excluded,composite_obstruction,4,False,semiprime_distinct,41*19739,41,11,19739,29,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809309,29,809310,32,809311,1,excluded,composite_obstruction,4,False,semiprime_distinct,467*1733,467,17,1733,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809339,29,809340,96,809341,1,excluded,composite_obstruction,6,False,two_prime_power_family,13^2*4789,13,13,62257,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809357,17,809358,16,809359,19,unresolved,prime_closure,2,True,fixed_point,809359,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809399,29,809400,96,809401,1,unresolved,prime_closure,2,True,fixed_point,809401,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809447,17,809448,32,809449,19,excluded,composite_obstruction,8,False,multi_prime_family,37*131*167,37,7,21877,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809507,17,809508,48,809509,19,excluded,composite_obstruction,4,False,semiprime_distinct,389*2081,389,29,2081,11,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809579,29,809580,48,809581,1,unresolved,prime_closure,2,True,fixed_point,809581,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809729,29,809730,32,809731,1,excluded,composite_obstruction,8,False,multi_prime_family,13*199*313,13,13,62287,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809741,11,809742,16,809743,13,excluded,composite_obstruction,4,False,semiprime_distinct,11*73613,11,11,73613,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809747,17,809748,36,809749,19,unresolved,prime_closure,2,True,fixed_point,809749,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809759,29,809760,96,809761,1,excluded,composite_obstruction,16,False,multi_prime_family,17*19*23*109,17,17,47633,23,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,19,19,2507,17,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
809771,11,809772,12,809773,13,excluded,composite_obstruction,4,False,semiprime_distinct,613*1321,613,13,1321,1,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809801,11,809802,24,809803,13,unresolved,prime_closure,2,True,fixed_point,809803,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809891,11,809892,24,809893,13,excluded,composite_obstruction,16,False,multi_prime_family,7*37*53*59,7,7,115699,19,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,37,7,3127,7,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
809909,29,809910,24,809911,1,excluded,composite_obstruction,4,False,semiprime_distinct,659*1229,659,29,1229,29,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809981,11,809982,24,809983,13,unresolved,prime_closure,2,True,fixed_point,809983,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810059,29,810060,48,810061,1,excluded,composite_obstruction,8,False,multi_prime_family,7*31*3733,7,7,115723,13,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810071,11,810072,24,810073,13,excluded,composite_obstruction,4,False,semiprime_distinct,11*73643,11,11,73643,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810137,17,810138,16,810139,19,excluded,composite_obstruction,8,False,multi_prime_family,11*47*1567,11,11,73649,29,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810149,29,810150,48,810151,1,unresolved,prime_closure,2,True,fixed_point,810151,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810191,11,810192,20,810193,13,unresolved,prime_closure,2,True,fixed_point,810193,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810209,29,810210,32,810211,1,excluded,composite_obstruction,4,False,semiprime_distinct,53*15287,53,23,15287,17,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810239,29,810240,72,810241,1,excluded,composite_obstruction,4,False,semiprime_distinct,97*8353,97,7,8353,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
810269,29,810270,32,810271,1,excluded,composite_obstruction,16,False,multi_prime_family,7*11*17*619,7,7,115753,13,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,11,11,10523,23,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
