anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
1047703,68,51,17,1,16,False,False,False
1047713,67,50,17,1,16,False,False,False
1047721,68,51,17,1,16,False,False,False
1047737,68,50,18,1,17,False,False,False
1047751,68,49,19,1,18,False,False,False
1047763,68,66,2,1,1,False,False,False
1047773,67,66,1,1,0,True,True,False
1047779,68,49,19,1,18,False,False,False
1047821,68,46,22,1,21,False,False,False
1047833,67,46,21,1,20,False,False,False
1047841,68,48,20,1,19,False,False,False
1047859,67,48,19,1,18,False,False,False
1047881,68,67,1,1,0,True,True,False
1047883,68,67,1,1,0,True,True,False
1047887,68,48,20,1,19,False,False,False
1047923,67,66,1,1,0,True,True,False
1047929,68,50,18,1,17,False,False,False
1047941,68,49,19,1,18,False,False,False
1047961,68,48,20,1,19,False,False,False
1047971,68,48,20,1,19,False,False,False
1047979,67,48,19,1,18,False,False,False
1047989,68,50,18,1,17,False,False,False
1047997,69,52,17,1,16,False,False,False
1048007,68,67,1,1,0,True,True,False
1048009,67,51,16,1,15,False,False,False
1048013,67,52,15,1,14,False,False,False
1048027,69,54,15,1,14,False,False,False
1048043,67,65,2,1,1,False,False,False
1048049,68,67,1,1,0,True,True,False
1048051,68,55,13,1,12,False,False,False
1048063,68,55,13,1,12,False,False,False
1048123,68,52,16,1,15,False,False,False
1048127,68,67,1,1,0,True,True,False
1048129,67,53,14,1,13,False,False,False
1048139,68,53,15,1,14,False,False,False
1048189,67,51,16,1,15,False,False,False
1048193,67,51,16,1,15,False,False,False
1048213,68,66,2,1,1,False,False,False
1048217,68,67,1,1,0,True,True,False
1048219,67,54,13,1,12,False,False,False
1048261,68,54,14,1,13,False,False,False
1048273,68,55,13,1,12,False,False,False
1048291,68,56,12,1,11,False,False,False
1048309,67,54,13,1,12,False,False,False
1048343,67,51,16,1,15,False,False,False
1048357,69,67,2,1,1,False,False,False
1048361,68,67,1,1,0,True,True,False
1048367,68,52,16,1,15,False,False,False
1048387,69,68,1,1,0,True,True,False
1048391,68,52,16,1,15,False,False,False
1048423,68,52,16,1,15,False,False,False
1048433,67,51,16,1,15,False,False,False
1048447,69,53,16,1,15,False,False,False
1048507,69,50,19,1,18,False,False,False
1048517,68,50,18,1,17,False,False,False
1048549,67,47,20,1,19,False,False,False
1048559,68,48,20,1,19,False,False,False
1048571,68,67,1,1,0,True,True,False
1048573,68,49,19,1,18,False,False,False
1048583,67,48,19,1,18,False,False,False
1048589,68,50,18,1,17,False,False,False
1048601,68,50,18,1,17,False,False,False
1048609,67,66,1,1,0,True,True,False
1048613,67,50,17,1,16,False,False,False
1048627,69,52,17,1,16,False,False,False
1048633,68,51,17,1,16,False,False,False
1048661,68,49,19,1,18,False,False,False
1048681,68,49,19,1,18,False,False,False
1048703,67,49,18,1,17,False,False,False
1048709,68,50,18,1,17,False,False,False
1048717,69,68,1,1,0,True,True,False
1048721,68,52,16,1,15,False,False,False
1048759,67,50,17,1,16,False,False,False
1048783,68,50,18,1,17,False,False,False
1048793,67,66,1,1,0,True,True,False
1048799,68,51,17,1,16,False,False,False
1048807,69,51,18,1,17,False,False,False
1048829,68,50,18,1,17,False,False,False
1048837,69,50,19,1,18,False,False,False
1048847,68,49,19,1,18,False,False,False
1048867,69,50,19,1,18,False,False,False
1048877,68,48,20,1,19,False,False,False
1048889,68,67,1,1,0,True,True,False
1048891,68,67,1,1,0,True,True,False
1048897,69,49,20,1,19,False,False,False
1048909,67,48,19,1,18,False,False,False
1048919,68,48,20,1,19,False,False,False
1048963,68,45,23,1,22,False,False,False
1048991,68,44,24,1,23,False,False,False
1049011,68,44,24,1,23,False,False,False
1049023,68,45,23,1,22,False,False,False
1049039,68,45,23,1,22,False,False,False
1049051,68,67,1,1,0,True,True,False
1049057,68,46,22,1,21,False,False,False
1049063,67,46,21,1,20,False,False,False
1049077,69,68,1,1,0,True,True,False
1049089,67,46,21,1,20,False,False,False
1049093,67,47,20,1,19,False,False,False
1049101,68,49,19,1,18,False,False,False
1049117,68,50,18,1,17,False,False,False
1049129,68,67,1,1,0,True,True,False
1049131,68,65,3,1,2,False,False,False
1049137,69,67,2,1,1,False,False,False
1049141,68,67,1,1,0,True,True,False
1049143,68,54,14,1,13,False,False,False
1049171,68,67,1,1,0,True,True,False
1049173,68,67,1,1,0,True,True,False
1049177,68,55,13,1,12,False,False,False
1049183,67,54,13,1,12,False,False,False
1049201,68,56,12,1,11,False,False,False
1049219,68,54,14,1,13,False,False,False
1049227,69,54,15,1,14,False,False,False
1049239,67,53,14,1,13,False,False,False
1049263,68,52,16,1,15,False,False,False
1049281,68,50,18,1,17,False,False,False
1049297,68,50,18,1,17,False,False,False
1049333,67,49,18,1,17,False,False,False
1049339,68,51,17,1,16,False,False,False
1049387,68,47,21,1,20,False,False,False
1049413,68,47,21,1,20,False,False,False
