p,q,gap_len,w,tau_w,frac_pos,budget,packet
633359,633377,18,633361,4,0.1111111111111111,2244.2788282141614,d4_semiprime
633461,633463,2,633462,16,0.5,93.51268704910669,d8_plus
633569,633571,2,633570,48,0.5,307.2598927071602,d8_plus
633653,633667,14,633657,4,0.2857142857142857,1188.974641152853,d4_semiprime
633791,633793,2,633792,28,0.5,173.67318935045267,d8_plus
633883,633923,40,633887,4,0.1,3420.070764005928,d4_semiprime
633991,634003,12,633999,4,0.6666666666666666,1055.424094374885,d4_semiprime
634103,634141,38,634107,4,0.10526315789473684,3046.079617983641,d4_semiprime
634199,634211,12,634209,4,0.8333333333333334,1202.411103552287,d4_semiprime
634273,634279,6,634274,8,0.16666666666666666,374.0867130407117,d8_plus
634367,634373,6,634369,4,0.3333333333333333,895.1458849035157,d4_semiprime
634493,634499,6,634497,4,0.6666666666666666,280.5722957401487,d4_semiprime
634573,634577,4,634574,8,0.25,227.13209241696603,d8_plus
634679,634681,2,634680,96,0.5,627.9611820508572,d8_plus
634747,634757,10,634749,4,0.2,1055.5181949852963,d4_semiprime
634859,634861,2,634860,36,0.5,227.13971627914648,d8_plus
634939,634943,4,634941,6,0.5,481.0063638655539,d6
635057,635087,30,635059,4,0.06666666666666667,2231.369425005961,d4_semiprime
635207,635249,42,635209,3,0.047619047619047616,3053.1566427856096,d3_prime_square
635293,635309,16,635297,4,0.25,975.4153694004868,d4_semiprime
635359,635363,4,635361,16,0.5,654.7354383239734,d8_plus
635449,635461,12,635451,4,0.16666666666666666,1215.9510699210655,d4_semiprime
635563,635567,4,635566,4,0.75,173.70949910501955,d4_semiprime
635689,635707,18,635693,4,0.2222222222222222,1469.8728002431965,d4_semiprime
635801,635809,8,635806,4,0.625,628.0444997879636,d4_semiprime
635891,635893,2,635892,24,0.5,146.99062418240123,d8_plus
635977,635981,4,635978,8,0.25,146.99213219674922,d8_plus
636061,636071,10,636067,4,0.6,668.1528207835888,d4_semiprime
636193,636211,18,636199,4,0.3333333333333333,1269.5107108784457,d4_semiprime
636283,636287,4,636284,12,0.25,307.3582458118433,d8_plus
636359,636403,44,636362,4,0.06818181818181818,3781.88542742692,d4_semiprime
636499,636533,34,636501,4,0.058823529411764705,2940.028188070362,d4_semiprime
636613,636619,6,636617,8,0.6666666666666666,681.559974296203,d8_plus
636731,636739,8,636733,4,0.25,614.7489451799437,d4_semiprime
636817,636821,4,636819,8,0.5,280.6490620259605,d8_plus
636931,636947,16,636934,4,0.1875,1122.6122181505975,d4_semiprime
637067,637073,6,637069,4,0.3333333333333333,441.0329647114699,d4_semiprime
637171,637199,28,637178,4,0.25,2125.005415557399,d4_semiprime
637283,637291,8,637289,4,0.75,735.0736962520275,d4_semiprime
637339,637349,10,637341,4,0.2,574.6977480424297,d4_semiprime
637459,637463,4,637462,8,0.75,253.93971603832603,d8_plus
637531,637543,12,637535,4,0.3333333333333333,895.4796130815666,d4_semiprime
637657,637669,12,637661,4,0.3333333333333333,748.4715748940067,d4_semiprime
637727,637729,2,637728,96,0.5,628.1863555392546,d8_plus
637817,637829,12,637822,4,0.4166666666666667,922.2413402997395,d4_semiprime
637937,637939,2,637938,48,0.5,307.4179167151919,d8_plus
638117,638123,6,638119,4,0.3333333333333333,842.0756832920852,d4_semiprime
638201,638233,32,638207,4,0.1875,2713.3864185595216,d4_semiprime
638359,638371,12,638366,4,0.5833333333333334,1082.699952417059,d4_semiprime
638489,638501,12,638497,4,0.6666666666666666,1096.0833354778094,d4_semiprime
638633,638663,30,638635,4,0.06666666666666667,2352.610697995086,d4_semiprime
638767,638801,34,638769,4,0.058823529411764705,2967.5455248170324,d4_semiprime
638933,638959,26,638938,4,0.19230769230769232,1991.7685892349423,d4_semiprime
639043,639049,6,639047,4,0.6666666666666666,494.6060454081288,d4_semiprime
639157,639167,10,639161,4,0.4,748.6030497075403,d4_semiprime
639263,639269,6,639266,8,0.5,548.0911253232326,d8_plus
639371,639391,20,639374,4,0.15,1430.403386215316,d4_semiprime
639493,639511,18,639494,4,0.05555555555555555,1470.5288404274004,d4_semiprime
639589,639599,10,639593,4,0.4,614.9550946891693,d4_semiprime
639679,639689,10,639683,4,0.4,708.5425928826805,d4_semiprime
639739,639757,18,639741,4,0.1111111111111111,1791.4230169352456,d4_semiprime
639911,639937,26,639913,4,0.07692307692307693,2754.0356115826266,d4_semiprime
640009,640019,10,640011,4,0.2,775.4161947708373,d4_semiprime
640099,640109,10,640103,4,0.4,842.2711862495978,d4_semiprime
640163,640193,30,640165,4,0.06666666666666667,2205.967954305243,d4_semiprime
640259,640261,2,640260,36,0.5,227.2837035882573,d8_plus
640369,640411,42,640379,4,0.23809523809523808,3329.0880708466357,d4_semiprime
640529,640531,2,640530,48,0.5,307.5111784654793,d8_plus
640649,640663,14,640658,4,0.6428571428571429,1096.3603958474644,d4_semiprime
640741,640771,30,640747,4,0.2,2647.340527350583,d4_semiprime
640873,640891,18,640877,4,0.2222222222222222,962.6832439117317,d4_semiprime
640949,640957,8,640954,4,0.625,601.6820041013327,d4_semiprime
641077,641083,6,641078,4,0.16666666666666666,681.916389308165,d4_semiprime
641167,641197,30,641177,4,0.3333333333333333,2620.7294321496065,d4_semiprime
641287,641299,12,641293,4,0.5,708.6758147946306,d4_semiprime
641419,641437,18,641423,4,0.2222222222222222,1617.9453678113991,d4_semiprime
641513,641519,6,641518,4,0.8333333333333334,334.28971640101423,d4_semiprime
641623,641633,10,641629,4,0.6,1056.3693384769963,d4_semiprime
641761,641789,28,641771,4,0.35714285714285715,2139.51926414077,d4_semiprime
641833,641843,10,641837,4,0.4,762.2092054514626,d4_semiprime
641909,641923,14,641911,4,0.14285714285714285,1190.1270765556226,d4_semiprime
642049,642071,22,642053,4,0.18181818181818182,1818.6516425128427,d4_semiprime
642151,642157,6,642153,4,0.3333333333333333,280.82426447319716,d4_semiprime
642233,642241,8,642235,8,0.25,869.2264794780322,d8_plus
642373,642403,30,642374,4,0.03333333333333333,2888.5574060779645,d4_semiprime
642527,642529,2,642528,72,0.5,468.0607986098967,d8_plus
642623,642673,50,642626,4,0.06,4025.378977021997,d4_semiprime
642791,642797,6,642793,4,0.3333333333333333,307.5923458656862,d4_semiprime
642877,642881,4,642878,8,0.25,655.3119375593034,d8_plus
642973,642977,4,642974,8,0.25,254.1033737642327,d8_plus
643051,643061,10,643053,4,0.2,842.5613298108113,d4_semiprime
643129,643183,54,643138,4,0.16666666666666666,3931.997133617612,d4_semiprime
643273,643301,28,643277,4,0.14285714285714285,2367.259074626597,d4_semiprime
643439,643453,14,643441,4,0.14285714285714285,1310.710046184689,d4_semiprime
643547,643553,6,643549,4,0.3333333333333333,708.8621083957622,d4_semiprime
643649,643651,2,643650,48,0.5,307.6229387190189,d8_plus
643723,643729,6,643727,4,0.6666666666666666,347.750741219882,d4_semiprime
643873,643879,6,643877,4,0.6666666666666666,508.259881913286,d4_semiprime
643961,643969,8,643963,4,0.25,976.4043363710101,d4_semiprime
644057,644089,32,644063,4,0.1875,2354.1001614744414,d4_semiprime
644141,644143,2,644142,8,0.5,40.1270234330251,d8_plus
644227,644239,12,644231,4,0.3333333333333333,842.6763668397691,d4_semiprime
644353,644359,6,644357,4,0.6666666666666666,575.1682951489663,d4_semiprime
644431,644443,12,644433,4,0.16666666666666666,1123.5951000269147,d4_semiprime
644519,644531,12,644522,4,0.25,1043.3487795062338,d4_semiprime
644599,644617,18,644601,4,0.1111111111111111,1538.2857587137464,d4_semiprime
644701,644717,16,644702,4,0.0625,896.229174311989,d4_semiprime
644789,644797,8,644794,4,0.625,387.92385225598355,d4_semiprime
644869,644881,12,644879,4,0.8333333333333334,1056.7682142413046,d4_semiprime
