gap_divisor_count,count,share,min_gap,max_gap,mean_gap
112,751,0.009236256303037756,2,12,8.234354194407457
113,6,7.379166154224573e-05,6,14,10.666666666666666
114,449,0.005522076005411388,6,12,9.211581291759465
115,5,6.149305128520478e-05,6,14,9.2
116,688,0.008461443856844176,4,14,8.584302325581396
117,2,2.4597220514081907e-05,8,10,9
118,458,0.005632763497724757,4,12,9.427947598253276
119,5,6.149305128520478e-05,6,10,9.2
120,753,0.009260853523551838,2,14,8.185922974767596
121,8,9.838888205632763e-05,6,12,9
122,410,0.005042430205386791,6,12,9.55609756097561
123,3,3.6895830771122866e-05,8,10,9.333333333333334
124,627,0.007711228631164678,4,14,9.007974481658692
125,4,4.9194441028163815e-05,6,12,9.5
126,437,0.005374492682326897,2,16,9.807780320366133
127,7,8.609027179928667e-05,6,12,9.142857142857142
128,728,0.008953388267125814,2,16,8.975274725274724
129,7,8.609027179928667e-05,6,16,10.571428571428571
130,399,0.0049071454925593404,6,16,9.869674185463658
131,6,7.379166154224573e-05,8,16,12
132,615,0.007563645308080187,2,18,9.486178861788618
133,11,0.0001352847128274505,6,16,10.545454545454545
134,419,0.00515311769770016,4,16,10.238663484486873
135,7,8.609027179928667e-05,6,12,9.142857142857142
136,595,0.007317673102939368,4,16,9.949579831932773
137,4,4.9194441028163815e-05,10,18,13
138,428,0.005263805190013528,6,18,10.485981308411215
139,6,7.379166154224573e-05,8,10,9
140,573,0.007047103677284467,2,16,10.041884816753926
141,3,3.6895830771122866e-05,10,14,12.666666666666666
142,384,0.004722666338703727,6,18,10.890625
143,5,6.149305128520478e-05,10,12,10.8
144,581,0.007145492559340795,2,18,9.55249569707401
145,4,4.9194441028163815e-05,8,16,13
146,384,0.004722666338703727,6,18,11.010416666666666
147,8,9.838888205632763e-05,6,16,10.25
148,540,0.006641249538802115,6,16,10.492592592592592
149,7,8.609027179928667e-05,6,16,11.428571428571429
150,389,0.004784159389988931,2,16,11.136246786632391
151,5,6.149305128520478e-05,8,14,11.2
152,503,0.0061862009592916,4,18,10.831013916500995
153,7,8.609027179928667e-05,8,14,11.142857142857142
154,381,0.004685770507932604,6,18,11.454068241469816
155,6,7.379166154224573e-05,10,14,12
156,512,0.006296888451604968,4,18,10.875
157,3,3.6895830771122866e-05,8,10,9.333333333333334
158,365,0.004488992743819948,6,18,11.632876712328768
159,5,6.149305128520478e-05,10,20,12.8
160,503,0.0061862009592916,2,18,11.009940357852882
161,6,7.379166154224573e-05,8,16,11.333333333333334
162,357,0.00439060386176362,6,18,12.07282913165266
163,7,8.609027179928667e-05,10,16,14
164,442,0.005435985733612102,4,18,11.542986425339366
165,10,0.00012298610257040955,10,18,12.2
166,365,0.004488992743819948,6,18,12.394520547945206
167,2,2.4597220514081907e-05,12,12,12
168,500,0.006149305128520477,2,18,11.78
169,3,3.6895830771122866e-05,10,16,14
170,346,0.00425531914893617,6,22,12.589595375722544
171,5,6.149305128520478e-05,8,18,13.6
172,470,0.005780346820809248,6,18,12.187234042553191
173,6,7.379166154224573e-05,10,16,12.333333333333334
174,354,0.004353708030992498,6,18,13.033898305084746
175,6,7.379166154224573e-05,6,16,11.333333333333334
176,426,0.005239207969499447,6,18,12.469483568075118
177,4,4.9194441028163815e-05,10,14,12
178,322,0.003960152502767187,8,18,13.124223602484472
179,6,7.379166154224573e-05,12,16,14
180,414,0.005091624646414955,2,18,12.826086956521738
181,6,7.379166154224573e-05,8,18,12.666666666666666
182,360,0.004427499692534744,6,22,13.427777777777777
183,2,2.4597220514081907e-05,10,12,11
184,420,0.0051654163079572005,4,18,12.876190476190477
185,8,9.838888205632763e-05,12,18,13.75
186,336,0.00413233304636576,6,22,13.773809523809524
187,5,6.149305128520478e-05,12,18,14.4
188,399,0.0049071454925593404,6,20,13.49874686716792
189,7,8.609027179928667e-05,12,16,14
190,304,0.0037387775181404502,8,18,13.967105263157896
191,8,9.838888205632763e-05,12,18,14.25
192,406,0.004993235764358627,2,20,13.403940886699507
193,1,1.2298610257040954e-05,22,22,22
194,308,0.003787971959168614,6,20,14.363636363636363
195,4,4.9194441028163815e-05,10,16,14
196,399,0.0049071454925593404,6,22,13.93483709273183
197,3,3.6895830771122866e-05,12,14,12.666666666666666
198,292,0.0035911941950559586,8,20,14.253424657534246
199,5,6.149305128520478e-05,12,16,14.4
200,356,0.00437830525150658,6,18,14.02247191011236
201,3,3.6895830771122866e-05,14,18,16
202,288,0.0035419997540277947,8,24,14.444444444444445
203,3,3.6895830771122866e-05,8,18,12.666666666666666
204,372,0.004575083015619235,6,22,14.543010752688172
205,7,8.609027179928667e-05,10,24,16.285714285714285
206,285,0.003505103923256672,8,20,15.143859649122806
207,2,2.4597220514081907e-05,16,16,16
208,366,0.004501291354076989,4,22,14.229508196721312
209,7,8.609027179928667e-05,12,20,14.857142857142858
210,254,0.0031238470052884024,4,22,15.346456692913385
211,4,4.9194441028163815e-05,14,18,15
212,368,0.004525888574591071,6,22,14.956521739130435
214,288,0.0035419997540277947,8,22,15.319444444444445
215,5,6.149305128520478e-05,12,24,17.6
216,314,0.0038617636207108597,2,22,14.980891719745223
217,6,7.379166154224573e-05,12,18,14.666666666666666
218,268,0.003296027548886976,8,24,15.694029850746269
219,5,6.149305128520478e-05,12,18,16
220,305,0.003751076128397491,4,24,15.2
221,5,6.149305128520478e-05,10,20,14.4
222,244,0.003000860902717993,8,22,15.680327868852459
223,4,4.9194441028163815e-05,14,20,17.5
224,285,0.003505103923256672,8,22,15.719298245614034
225,7,8.609027179928667e-05,12,20,16
226,255,0.0031361456155454435,4,26,15.984313725490196
227,4,4.9194441028163815e-05,14,22,16
228,285,0.003505103923256672,6,22,15.782456140350877
229,6,7.379166154224573e-05,14,24,19
230,258,0.0031730414463165663,8,28,16.441860465116278
231,1,1.2298610257040954e-05,18,18,18
232,283,0.00348050670274259,4,22,16.042402826855124
233,9,0.00011068749231336859,14,20,17.11111111111111
234,269,0.003308326159144017,8,22,16.565055762081784
235,4,4.9194441028163815e-05,12,16,13.5
236,260,0.003197638666830648,6,24,16.476923076923075
237,5,6.149305128520478e-05,14,22,17.6
238,227,0.002791784528348297,10,24,16.94273127753304
240,238,0.002927069241175747,2,24,16.058823529411764
241,3,3.6895830771122866e-05,14,26,19.333333333333332
242,220,0.00270569425654901,6,22,17.336363636363636
243,2,2.4597220514081907e-05,18,18,18
244,273,0.0033575206001721807,8,28,16.967032967032967
245,5,6.149305128520478e-05,14,18,16.4
246,234,0.0028778748001475835,12,24,17.70940170940171
247,4,4.9194441028163815e-05,12,18,14
248,275,0.0033821178206862625,8,24,17.330909090909092
