a,square,endpoint_offsets,component_word,s4,slack_4a,slack_2a,utilization_4a,utilization_2a,half_wall_status,fixed_256_status,a_mod_30
1433,2053489,18|28|40|64,18|10|12|24,64,5668,2802,0.011165387299,0.022330774599,pass,pass,23
1439,2070721,16|28|60|72,16|12|32|12,72,5684,2806,0.012508686588,0.025017373176,pass,pass,29
1447,2093809,4|12|18|28,4|8|6|10,28,5760,2866,0.004837595024,0.009675190048,pass,pass,7
1451,2105401,6|12|16|18,6|6|4|2,18,5786,2884,0.003101309442,0.006202618884,pass,pass,11
1453,2111209,22|42|58|94,22|20|16|36,94,5718,2812,0.016173434274,0.032346868548,pass,pass,13
1459,2128681,16|46|52|66,16|30|6|14,66,5770,2852,0.011309115833,0.022618231666,pass,pass,19
1471,2163841,10|18|28|40,10|8|10|12,40,5844,2902,0.006798096533,0.013596193066,pass,pass,1
1481,2193361,10|22|52|58,10|12|30|6,58,5866,2904,0.009790681972,0.019581363943,pass,pass,11
1483,2199289,10|22|24|72,10|12|2|48,72,5860,2894,0.012137559002,0.024275118004,pass,pass,13
1487,2211169,10|42|48|58,10|32|6|10,58,5890,2916,0.009751176866,0.019502353732,pass,pass,17
1489,2217121,22|60|78|90,22|38|18|12,90,5866,2888,0.015110812626,0.030221625252,pass,pass,19
1493,2229049,34|40|54|58,34|6|14|4,58,5914,2928,0.009711989283,0.019423978567,pass,pass,23
1499,2247001,18|28|52|66,18|10|24|14,66,5930,2932,0.011007338225,0.022014676451,pass,pass,29
1511,2283121,16|18|70|106,16|2|52|36,106,5938,2916,0.017538054269,0.035076108537,pass,pass,11
1523,2319529,4|24|64|84,4|20|40|20,84,6008,2962,0.013788575181,0.027577150361,pass,pass,23
1531,2343961,6|28|36|58,6|22|8|22,58,6066,3004,0.00947093403,0.01894186806,pass,pass,1
1543,2380849,4|28|48|58,4|24|20|10,58,6114,3028,0.00939727803,0.01879455606,pass,pass,13
1549,2399401,6|60|76|78,6|54|16|2,78,6118,3020,0.012588766946,0.025177533893,pass,pass,19
1553,2411809,12|24|28|58,12|12|4|30,58,6154,3048,0.009336767547,0.018673535093,pass,pass,23
1559,2430481,6|22|42|58,6|16|20|16,58,6178,3060,0.009300833868,0.018601667736,pass,pass,29
1567,2455489,10|18|22|24,10|8|4|2,24,6244,3110,0.003828972559,0.007657945118,pass,pass,7
1571,2468041,6|28|58|60,6|22|30|2,60,6224,3082,0.009548058561,0.019096117123,pass,pass,11
1579,2493241,18|48|60|88,18|30|12|28,88,6228,3070,0.013932868904,0.027865737809,pass,pass,19
1583,2505889,12|28|94|100,12|16|66|6,100,6232,3066,0.015792798484,0.031585596968,pass,pass,23
1597,2550409,28|58|60|70,28|30|2|10,70,6318,3124,0.010958046337,0.021916092674,pass,pass,7
1601,2563201,6|16|28|36,6|10|12|8,36,6368,3166,0.005621486571,0.011242973142,pass,pass,11
1607,2582449,42|52|94|102,42|10|42|8,102,6326,3112,0.015868077162,0.031736154325,pass,pass,17
1609,2588881,12|16|18|42,12|4|2|24,42,6394,3176,0.006525792418,0.013051584835,pass,pass,19
1613,2601769,4|18|48|52,4|14|30|4,52,6400,3174,0.008059516429,0.016119032858,pass,pass,23
1619,2621161,6|36|46|58,6|30|10|12,58,6418,3180,0.008956145769,0.017912291538,pass,pass,29
1621,2627641,16|30|48|52,16|14|18|4,52,6432,3190,0.008019740901,0.016039481801,pass,pass,1
1627,2647129,4|28|30|34,4|24|2|4,34,6474,3220,0.005224339275,0.010448678549,pass,pass,7
1637,2679769,4|42|72|78,4|38|30|6,78,6470,3196,0.011912034209,0.023824068418,pass,pass,17
1657,2745649,12|48|70|82,12|36|22|12,82,6546,3232,0.012371756186,0.024743512372,pass,pass,7
1663,2765569,10|22|28|48,10|12|6|20,48,6604,3278,0.007215874925,0.01443174985,pass,pass,13
1667,2778889,12|18|22|24,12|6|4|2,24,6644,3310,0.003599280144,0.007198560288,pass,pass,17
1669,2785561,16|18|28|30,16|2|10|2,30,6646,3308,0.004493708808,0.008987417615,pass,pass,19
1693,2866249,12|18|22|28,12|6|4|6,28,6744,3358,0.00413467218,0.008269344359,pass,pass,13
1697,2879809,10|28|34|48,10|18|6|14,48,6740,3346,0.007071302298,0.014142604596,pass,pass,17
1699,2886601,6|18|42|48,6|12|24|6,48,6748,3350,0.007062978222,0.014125956445,pass,pass,19
1709,2920681,10|12|58|70,10|2|46|12,70,6766,3348,0.010239906378,0.020479812756,pass,pass,29
1721,2961841,10|22|36|58,10|12|14|22,58,6826,3384,0.008425334108,0.016850668216,pass,pass,11
1723,2968729,4|18|24|52,4|14|6|28,52,6840,3394,0.007544979687,0.015089959373,pass,pass,13
