rung_min_exponent,rung_max_exponent,exponent,exponent_divisor_count,exponent_status,number_family,left_prime_rule_id,candidate_bound,candidate_seconds_limit,candidate_checks,rejected_candidate_offsets_before_left_prime,unresolved_reason,unresolved_candidate_offset,power_of_two,mersenne_number,distance_to_left_prime,mersenne_location_inferred,left_prime
101,1000,199,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,803469022129495137770981046170581301261101496891396417650688,803469022129495137770981046170581301261101496891396417650687,,False,
101,1000,200,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,201,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,202,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,203,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,204,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,205,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,206,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,207,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,208,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,209,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,210,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,211,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,3291009114642412084309938365114701009965471731267159726697218048,3291009114642412084309938365114701009965471731267159726697218047,,False,
101,1000,212,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,213,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,214,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,215,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,216,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,217,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,218,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,219,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,220,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,221,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,222,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,223,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,13479973333575319897333507543509815336818572211270286240551805124608,13479973333575319897333507543509815336818572211270286240551805124607,,False,
101,1000,224,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,225,9,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,226,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,227,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,5,1;7;9;15,candidate_work_limit,19,215679573337205118357336120696157045389097155380324579848828881993728,215679573337205118357336120696157045389097155380324579848828881993727,,False,
101,1000,228,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,229,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,5,1;3;9;13,candidate_work_limit,15,862718293348820473429344482784628181556388621521298319395315527974912,862718293348820473429344482784628181556388621521298319395315527974911,,False,
101,1000,230,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,231,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,232,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,233,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,,,13803492693581127574869511724554050904902217944340773110325048447598592,13803492693581127574869511724554050904902217944340773110325048447598591,3,False,13803492693581127574869511724554050904902217944340773110325048447598589
101,1000,234,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,235,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,236,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,237,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,238,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,239,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,883423532389192164791648750371459257913741948437809479060803100646309888,883423532389192164791648750371459257913741948437809479060803100646309887,,False,
101,1000,240,20,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,241,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,3533694129556768659166595001485837031654967793751237916243212402585239552,3533694129556768659166595001485837031654967793751237916243212402585239551,,False,
101,1000,242,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,243,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,244,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,245,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,246,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,247,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,248,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,249,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,250,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,251,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,3618502788666131106986593281521497120414687020801267626233049500247285301248,3618502788666131106986593281521497120414687020801267626233049500247285301247,,False,
101,1000,252,18,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,253,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,254,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,255,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,256,9,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,257,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,231584178474632390847141970017375815706539969331281128078915168015826259279872,231584178474632390847141970017375815706539969331281128078915168015826259279871,,False,
101,1000,258,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,259,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,260,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,261,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,262,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,263,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,14821387422376473014217086081112052205218558037201992197050570753012880593911808,14821387422376473014217086081112052205218558037201992197050570753012880593911807,,False,
101,1000,264,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,265,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,266,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,267,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,268,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,269,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,948568795032094272909893509191171341133987714380927500611236528192824358010355712,948568795032094272909893509191171341133987714380927500611236528192824358010355711,,False,
101,1000,270,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,271,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,3794275180128377091639574036764685364535950857523710002444946112771297432041422848,3794275180128377091639574036764685364535950857523710002444946112771297432041422847,,False,
101,1000,272,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,273,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,274,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,275,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,276,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,277,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,242833611528216133864932738352939863330300854881517440156476551217363035650651062271,,False,
101,1000,278,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,279,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,280,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,281,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,3885337784451458141838923813647037813284813678104279042503624819477808570410416996351,,False,
101,1000,282,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,283,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,15541351137805832567355695254588151253139254712417116170014499277911234281641667985408,15541351137805832567355695254588151253139254712417116170014499277911234281641667985407,,False,
101,1000,284,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,285,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,286,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,287,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,288,18,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,289,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,290,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,291,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,292,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,293,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057791,,False,
101,1000,294,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,295,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,296,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,297,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,298,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,299,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,300,18,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,301,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,302,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,303,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,304,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,305,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,306,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,307,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864128,260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864127,,False,
101,1000,308,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,309,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,310,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,311,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826047,,False,
101,1000,312,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,313,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,16687398718132110018711107079449625895333629080911349765211262561111091607661254297054391304192,16687398718132110018711107079449625895333629080911349765211262561111091607661254297054391304191,,False,
101,1000,314,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,315,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,316,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,317,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867072,266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867071,,False,
101,1000,318,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,319,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,320,14,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,321,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,322,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,323,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,324,15,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,325,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,326,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,327,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,328,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,329,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,330,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,331,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,4374501449566023848745004454235242730706338861786424872851541212819905998398751846447026354046107648,4374501449566023848745004454235242730706338861786424872851541212819905998398751846447026354046107647,,False,
101,1000,332,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,333,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,334,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,335,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,336,20,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,337,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889471,,False,
101,1000,338,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,339,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,340,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,341,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,342,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,343,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,344,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,345,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,346,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,347,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,286687326998758938951352611912760867599570623646035140467198604923365359511060601008752319138765710819328,286687326998758938951352611912760867599570623646035140467198604923365359511060601008752319138765710819327,,False,
101,1000,348,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,349,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277311,,False,
101,1000,350,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,351,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,352,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,353,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436991,,False,
101,1000,354,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,355,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,356,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,357,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,358,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,359,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967487,,False,
101,1000,360,24,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,361,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,362,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,363,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,364,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,365,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,366,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,367,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676927,,False,
101,1000,368,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,369,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,370,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,371,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,372,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,373,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,3,1;3,candidate_work_limit,9,19239260838083241802870625048898248928261591440656956380834127638791856333738872368854622194768025215237611323392,19239260838083241802870625048898248928261591440656956380834127638791856333738872368854622194768025215237611323391,,False,
101,1000,374,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,375,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,376,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,377,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,378,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,379,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,7,1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088,1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697087,,False,
101,1000,380,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,381,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,382,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,383,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408,19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153407,,False,
101,1000,384,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,385,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,386,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,387,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,388,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,389,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112,1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818111,,False,
101,1000,390,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,391,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,392,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,393,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
